"Context","Source"
"APMAirframeComponent"," To change this configuration, select the desired frame class below and then reboot the vehicle."
"APMCameraSubComponent","Channel 15"
"APMCameraSubComponent","Channel 16"
"APMCameraSubComponent","Show all settings (advanced)"
"APMCameraSubComponent","Camera mount tilt speed:"
"APMFirmwarePlugin","Unable to pause vehicle."
"APMFirmwarePlugin","Vehicle does not support guided rotate"
"APMFirmwarePlugin","Unable to start takeoff: Vehicle is already in the air."
"APMFirmwarePlugin","Unable to start takeoff: Vehicle failed to change to Takeoff mode."
"APMFirmwarePlugin","Unable to start takeoff: Vehicle failed to arm."
"APMFlightModeIndicator","Return to Launch"
"APMFlightModeIndicator","Return At"
"APMFlightModeIndicator","Current alttiude"
"APMFlightModeIndicator","Specified altitude"
"APMFollowComponent","Follow Me"
"APMFollowComponentSummary","Follow Enabled"
"APMFollowComponentSummary","Follow System ID"
"APMFollowComponentSummary","Max Distance"
"APMFollowComponentSummary","Offset X"
"APMFollowComponentSummary","Offset Y"
"APMFollowComponentSummary","Offset Z"
"APMFollowComponentSummary","Offset Type"
"APMFollowComponentSummary","Altitude Type"
"APMFollowComponentSummary","Yaw Behavior"
"APMHeliComponent",""
"APMMainStatusIndicatorContentItem","Ground Control Comm Loss Failsafe"
"APMMainStatusIndicatorContentItem","Vehicle Action"
"APMMainStatusIndicatorContentItem","Loss Timeout"
"APMMainStatusIndicatorContentItem","Failsafe Options"
"APMPlaneMode","Manual"
"APMPlaneMode","Circle"
"APMPlaneMode","Stabilize"
"APMPlaneMode","Training"
"APMPlaneMode","Acro"
"APMPlaneMode","FBW A"
"APMPlaneMode","FBW B"
"APMPlaneMode","Cruise"
"APMPlaneMode","Autotune"
"APMPlaneMode","Auto"
"APMPlaneMode","RTL"
"APMPlaneMode","Loiter"
"APMPlaneMode","Takeoff"
"APMPlaneMode","Avoid ADSB"
"APMPlaneMode","Guided"
"APMPlaneMode","Initializing"
"APMPlaneMode","QuadPlane Stabilize"
"APMPlaneMode","QuadPlane Hover"
"APMPlaneMode","QuadPlane Loiter"
"APMPlaneMode","QuadPlane Land"
"APMPlaneMode","QuadPlane RTL"
"APMPlaneMode","QuadPlane AutoTune"
"APMPlaneMode","QuadPlane Acro"
"APMPlaneMode","Thermal"
"APMPlaneMode","Loiter to QLand"
"APMPlaneMode","Autoland"
"APMPowerComponent","Blue Robotics Power Sense Module"
"APMPowerComponent","Navigator w/ Blue Robotics Power Sense Module"
"APMRemoteSupportComponent","Host name:"
"APMRemoteSupportComponent","Connect"
"APMRemoteSupportComponent","Forwarding traffic: Mavlink traffic will keep being forwarded until application restarts"
"APMRemoteSupportComponent","Remote Support"
"APMRemoteSupportComponent","On this menu you can forward mavlink telemetry to an ardupilot support engineer."
"APMRoverMode","Manual"
"APMRoverMode","Acro"
"APMRoverMode","Learning"
"APMRoverMode","Steering"
"APMRoverMode","Hold"
"APMRoverMode","Loiter"
"APMRoverMode","Follow"
"APMRoverMode","Simple"
"APMRoverMode","Dock"
"APMRoverMode","Circle"
